linha,coluna,rotulo_coluna,tipo_linha,codigo_cnae,descricao,status_atualizacao,valor_origem,valor_gerado,diferenca,variacao_pct,resultado,motivo
9,L,L — Empresa de pequeno porte,grupo,153,Fabricação de calçados,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
9,M,M — Empresa de médio porte,grupo,153,Fabricação de calçados,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
9,N,N — Grande empresa,grupo,153,Fabricação de calçados,indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
9,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,grupo,153,Fabricação de calçados,indisponivel,9251,9251,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
9,P,P — Empresa de pequeno porte,grupo,153,Fabricação de calçados,indisponivel,972,972,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
9,Q,Q — Empresa de médio porte,grupo,153,Fabricação de calçados,indisponivel,256,256,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
9,R,R — Grande empresa,grupo,153,Fabricação de calçados,indisponivel,42,42,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
9,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,grupo,153,Fabricação de calçados,indisponivel,9543,9543,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
9,T,T — Empresa de pequeno porte,grupo,153,Fabricação de calçados,indisponivel,984,984,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
9,U,U — Empresa de médio porte,grupo,153,Fabricação de calçados,indisponivel,259,259,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
9,V,V — Grande empresa,grupo,153,Fabricação de calçados,indisponivel,36,36,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
10,D,D — EMPREGOS / Estoque 2022,grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,23505,23505,0.0,0.0,identico,
10,E,E — Estoque 2023,grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,21979,21752,-227.0,-1.0328,divergente,
10,F,F — Estoque 2024,grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,22507,22246,-261.0,-1.1596,divergente,
10,G,G — Estoque 2025,grupo,154,"Fabricação de partes para calçados, de qualquer material",formula_preservada,22791,22534,-257.0,-1.1276,divergente,estoque projetado = coluna F + coluna J
10,H,H — Saldo / 2023 (jan-dez),grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,-1492,-1492,0.0,0.0,identico,
10,I,I — 2024 (jan-dez),grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,187,190,3.0,1.6043,divergente,
10,J,J — 2025 (jan-dez),grupo,154,"Fabricação de partes para calçados, de qualquer material",atualizado,284,288,4.0,1.4085,divergente,
10,K,K — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2022 / Microempresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
10,L,L — Empresa de pequeno porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
10,M,M — Empresa de médio porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
10,N,N — Grande empresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,,,,,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2022)
10,O,O — Quantidade de estabelecimentos por porte(RAIS completa) (Metodologia Sebrae) 2023 / Microempresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,6395,6395,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
10,P,P — Empresa de pequeno porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,630,630,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
10,Q,Q — Empresa de médio porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,58,58,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
10,R,R — Grande empresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,1,1,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2023)
10,S,S — Quantidade de estabelecimentos por porte(RAIS) (Metodologia Sebrae) 2024 / Microempresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,6756,6756,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
10,T,T — Empresa de pequeno porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,630,630,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
10,U,U — Empresa de médio porte,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,61,61,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
10,V,V — Grande empresa,grupo,154,"Fabricação de partes para calçados, de qualquer material",indisponivel,4,4,0.0,0.0,nao_atualizado,Não há na biblioteca nem na API endpoint de estabelecimentos por porte da RAIS/metodologia Sebrae com recorte anual e 4 portes (ano 2024)
11,D,D — EMPREGOS / Estoque 2022,grupo,162,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",atualizado,104545,104545,0.0,0.0,identico,
11,E,E — Estoque 2023,grupo,162,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",atualizado,103402,102027,-1375.0,-1.3298,divergente,
11,F,F — Estoque 2024,grupo,162,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",atualizado,105918,104380,-1538.0,-1.4521,divergente,
